0.00,49.56,101.66,172.96,233.70,51.27,166.93,240.56,304.02,369.39,24.30,21.90,91.21,515.73,479.40,431.44,741.46,696.86,689.11,686.65,651.25,616.66,77.85,143.53,130.85,204.28,199.43,268.16,277.71,342.07,336.27,410.98,395.80,482.96,468.01,571.22,880.68,518.66,946.42,584.26,1019.80,652.38,1019.45,710.66,954.45,779.68,977.13,645.60,654.31,726.16,720.55,797.36,786.99,878.59,832.23,926.66,899.97,997.82,944.40,172.96,233.70,51.27,304.02,515.73,741.46,696.86,689.11,616.66,77.85,199.43,277.71,336.27,410.98,468.01,571.22,518.66,652.38,1019.45,977.13,654.31,786.99,926.66,997.82
49.56,0.00,52.10,123.40,184.14,579.04,694.70,768.33,831.79,897.16,503.47,69.41,436.56,942.00,905.67,857.71,1167.73,1123.13,1115.38,1112.92,1077.52,1042.93,125.36,384.24,178.36,444.99,246.94,508.87,325.22,582.78,383.78,651.69,443.31,714.16,515.52,737.91,928.19,566.17,993.93,631.77,1067.31,699.89,1066.96,758.17,1001.96,827.19,1024.64,812.29,821.00,892.85,887.24,964.05,953.68,1045.28,998.92,1093.35,1066.66,1164.51,1111.09,123.40,184.14,579.04,831.79,942.00,1167.73,1123.13,1115.38,1042.93,125.36,246.94,325.22,383.78,651.69,515.52,737.91,566.17,699.89,1066.96,1024.64,821.00,953.68,1093.35,1164.51
101.66,52.10,0.00,71.30,132.04,631.14,746.80,820.43,883.89,949.26,555.57,121.51,488.66,994.10,957.77,909.81,1219.83,1175.23,1167.48,1165.02,1129.62,1095.03,177.46,436.34,230.46,497.09,299.04,560.97,377.32,634.88,435.88,703.79,495.41,766.26,567.62,790.01,980.29,618.27,1046.03,683.87,1119.41,751.99,1119.06,810.27,1054.06,879.29,1076.74,864.39,873.10,944.95,939.34,1016.15,1005.78,1097.38,1051.02,1145.45,1118.76,1216.61,1163.19,71.30,132.04,631.14,883.89,994.10,1219.83,1175.23,1167.48,1095.03,177.46,299.04,377.32,435.88,703.79,567.62,790.01,618.27,751.99,1119.06,1076.74,873.10,1005.78,1145.45,1216.61
172.96,123.40,71.30,0.00,60.74,702.44,818.10,891.73,955.19,1020.56,626.87,192.81,559.96,1065.40,1029.07,981.11,1291.13,1246.53,1238.78,1236.32,1200.92,1166.33,248.76,507.64,301.76,568.39,370.34,632.27,448.62,706.18,507.18,775.09,566.71,837.56,638.92,861.31,1051.59,689.57,1117.33,755.17,1190.71,821.65,1182.36,873.57,1117.36,942.59,1140.04,935.69,944.40,1016.25,1010.64,1087.45,1077.08,1168.68,1122.32,1216.75,1190.06,1287.91,1234.49,0.00,60.74,702.44,955.19,1065.40,1291.13,1246.53,1238.78,1166.33,248.76,370.34,448.62,507.18,775.09,638.92,861.31,689.57,821.65,1182.36,1140.04,944.40,1077.08,1216.75,1287.91
233.70,184.14,132.04,60.74,0.00,763.18,878.84,952.47,1015.93,1081.30,687.61,253.55,620.70,1126.14,1089.81,1041.85,1351.87,1307.27,1299.52,1297.06,1261.66,1227.07,309.50,568.38,362.50,629.13,431.08,693.01,509.36,766.92,567.92,835.83,627.45,898.30,699.66,922.05,1112.33,750.31,1178.07,815.91,1185.76,760.91,1121.62,812.83,1056.62,881.85,1079.30,996.43,1005.14,1076.99,1071.38,1148.19,1137.82,1229.42,1183.06,1277.49,1250.80,1348.65,1295.23,60.74,0.00,763.18,1015.93,1126.14,1351.87,1307.27,1299.52,1227.07,309.50,431.08,509.36,567.92,835.83,699.66,922.05,750.31,760.91,1121.62,1079.30,1005.14,1137.82,1277.49,1348.65
51.27,583.74,635.84,707.14,767.88,0.00,115.66,189.29,252.75,318.12,75.57,512.28,142.48,489.96,453.63,405.67,715.69,671.09,663.34,660.88,625.48,590.89,506.53,194.80,525.75,255.55,457.19,319.43,464.13,393.34,522.69,462.25,582.22,534.23,654.43,622.49,812.77,705.08,878.51,770.68,951.89,838.80,1016.10,897.08,1060.17,966.10,1082.85,696.87,705.58,777.43,771.82,848.63,838.26,929.86,883.50,977.93,951.24,1049.09,995.67,707.14,767.88,0.00,252.75,489.96,715.69,671.09,663.34,590.89,506.53,457.19,464.13,522.69,462.25,654.43,622.49,705.08,838.80,1016.10,1082.85,705.58,838.26,977.93,1049.09
169.44,701.91,754.01,825.31,886.05,118.17,0.00,73.63,137.09,202.46,193.74,630.45,260.65,608.13,571.80,523.84,749.21,704.61,696.86,694.40,659.00,624.41,624.70,312.97,643.92,373.72,575.36,437.60,582.30,511.51,640.86,580.42,700.39,652.40,772.60,740.66,930.94,823.25,996.68,888.85,1070.06,956.97,1134.27,1015.25,1178.34,1084.27,1201.02,815.04,823.75,895.60,889.99,966.80,956.43,1048.03,1001.67,1096.10,1069.41,1167.26,1113.84,825.31,886.05,118.17,137.09,608.13,749.21,704.61,696.86,624.41,624.70,575.36,582.30,640.86,580.42,772.60,740.66,823.25,956.97,1134.27,1201.02,823.75,956.43,1096.10,1167.26
243.07,775.54,827.64,898.94,959.68,191.80,73.63,0.00,63.46,128.83,267.37,704.08,334.28,639.47,603.14,555.18,675.58,630.98,623.23,620.77,585.37,550.78,698.33,386.60,717.55,447.35,648.99,511.23,655.93,585.14,714.49,654.05,774.02,726.03,846.23,814.29,1004.57,896.88,1070.31,962.48,1143.69,1030.60,1207.90,1088.88,1251.97,1157.90,1274.65,888.67,897.38,969.23,963.62,1040.43,1030.06,1121.66,1075.30,1169.73,1143.04,1240.89,1187.47,898.94,959.68,191.80,63.46,639.47,675.58,630.98,623.23,550.78,698.33,648.99,655.93,714.49,654.05,846.23,814.29,896.88,1030.60,1207.90,1274.65,897.38,1030.06,1169.73,1240.89
306.48,838.95,891.05,962.35,1023.09,255.21,137.04,63.41,0.00,65.37,330.78,767.49,397.69,576.01,539.68,491.72,612.12,567.52,559.77,557.31,521.91,487.32,761.74,450.01,780.96,510.76,712.40,574.64,719.34,648.55,777.90,717.46,837.43,789.44,909.64,877.70,1067.98,960.29,1133.72,1025.89,1207.10,1094.01,1271.31,1152.29,1315.38,1221.31,1338.06,952.08,960.79,1032.64,1027.03,1103.84,1093.47,1185.07,1138.71,1233.14,1206.45,1304.30,1250.88,962.35,1023.09,255.21,0.00,576.01,612.12,567.52,559.77,487.32,761.74,712.40,719.34,777.90,717.46,909.64,877.70,960.29,1094.01,1271.31,1338.06,960.79,1093.47,1233.14,1304.30
371.85,904.32,956.42,1027.72,1088.46,320.58,202.41,128.78,65.37,0.00,396.15,832.86,463.06,510.64,474.31,426.35,546.75,502.15,494.40,491.94,456.54,421.95,827.11,515.38,846.33,576.13,777.77,640.01,784.71,713.92,843.27,782.83,902.80,854.81,975.01,943.07,1133.35,1025.66,1199.09,1091.26,1272.47,1159.38,1336.68,1217.66,1380.75,1286.68,1403.43,1017.45,1026.16,1098.01,1092.40,1169.21,1158.84,1250.44,1204.08,1298.51,1271.82,1369.67,1316.25,1027.72,1088.46,320.58,65.37,510.64,546.75,502.15,494.40,421.95,827.11,777.77,784.71,843.27,782.83,975.01,943.07,1025.66,1159.38,1336.68,1403.43,1026.16,1158.84,1298.51,1369.67
24.30,508.17,560.27,631.57,692.31,75.57,191.23,264.86,328.32,393.69,0.00,436.71,66.91,491.43,455.10,407.14,717.16,672.56,664.81,662.35,626.95,592.36,430.96,119.23,450.18,179.98,381.62,243.86,388.56,317.77,447.12,386.68,506.65,458.66,578.86,546.92,737.20,629.51,802.94,695.11,876.32,763.23,940.53,821.51,984.60,890.53,1007.28,621.30,630.01,701.86,696.25,773.06,762.69,854.29,807.93,902.36,875.67,973.52,920.10,631.57,692.31,75.57,328.32,491.43,717.16,672.56,664.81,592.36,430.96,381.62,388.56,447.12,386.68,578.86,546.92,629.51,763.23,940.53,1007.28,630.01,762.69,902.36,973.52
21.90,71.46,123.56,194.86,255.60,509.63,625.29,698.92,762.38,827.75,434.06,0.00,367.15,872.59,836.26,788.30,1098.32,1053.72,1045.97,1043.51,1008.11,973.52,55.95,314.83,108.95,375.58,177.53,439.46,255.81,513.37,314.37,582.28,373.90,644.75,446.11,668.50,858.78,496.76,924.52,562.36,997.90,630.48,997.55,688.76,932.55,757.78,955.23,742.88,751.59,823.44,817.83,894.64,884.27,975.87,929.51,1023.94,997.25,1095.10,1041.68,194.86,255.60,509.63,762.38,872.59,1098.32,1053.72,1045.97,973.52,55.95,177.53,255.81,314.37,582.28,446.11,668.50,496.76,630.48,997.55,955.23,751.59,884.27,1023.94,1095.10
91.21,441.26,493.36,564.66,625.40,142.48,258.14,331.77,395.23,460.60,66.91,369.80,0.00,558.34,522.01,474.05,784.07,739.47,731.72,729.26,693.86,659.27,364.05,52.32,383.27,113.07,314.71,176.95,321.65,250.86,380.21,319.77,439.74,391.75,511.95,480.01,670.29,562.60,736.03,628.20,809.41,696.32,873.62,754.60,917.69,823.62,940.37,554.39,563.10,634.95,629.34,706.15,695.78,787.38,741.02,835.45,808.76,906.61,853.19,564.66,625.40,142.48,395.23,558.34,784.07,739.47,731.72,659.27,364.05,314.71,321.65,380.21,319.77,511.95,480.01,562.60,696.32,873.62,940.37,563.10,695.78,835.45,906.61
575.76,1009.76,1061.86,1133.16,1193.90,478.17,510.93,478.51,415.10,349.73,551.46,938.30,618.37,0.00,429.82,381.86,225.73,181.13,173.38,170.92,135.52,100.93,932.55,620.82,951.77,662.55,883.21,726.43,890.15,800.34,948.71,827.69,997.19,755.58,923.43,736.65,926.93,941.20,992.67,1006.80,1066.05,1074.92,1130.26,1133.20,1194.94,1202.22,1239.69,811.03,819.74,891.59,885.98,962.79,952.42,1044.02,997.66,1092.09,1065.40,1121.10,1109.83,1133.16,1193.90,478.17,415.10,0.00,225.73,181.13,173.38,100.93,932.55,883.21,890.15,948.71,827.69,923.43,736.65,941.20,1074.92,1130.26,1239.69,819.74,952.42,1092.09,1121.10
612.09,1046.09,1098.19,1169.49,1230.23,514.50,547.26,514.84,451.43,386.06,587.79,974.63,654.70,36.33,0.00,418.19,262.06,217.46,209.71,207.25,171.85,137.26,968.88,657.15,988.10,698.88,919.54,762.76,926.48,836.67,985.04,864.02,1033.52,791.91,959.76,772.98,963.26,977.53,1029.00,1043.13,1102.38,1111.25,1166.59,1169.53,1231.27,1238.55,1276.02,847.36,856.07,927.92,922.31,999.12,988.75,1080.35,1033.99,1128.42,1101.73,1157.43,1146.16,1169.49,1230.23,514.50,451.43,36.33,262.06,217.46,209.71,137.26,968.88,919.54,926.48,985.04,864.02,959.76,772.98,977.53,1111.25,1166.59,1276.02,856.07,988.75,1128.42,1157.43
660.05,1094.05,1146.15,1217.45,1278.19,562.46,595.22,562.80,499.39,434.02,635.75,1022.59,702.66,84.29,47.96,0.00,310.02,265.42,257.67,255.21,219.81,185.22,1016.84,705.11,1036.06,746.84,967.50,810.72,974.44,884.63,1033.00,911.98,1081.48,839.87,1007.72,820.94,1011.22,1025.49,1076.96,1091.09,1150.34,1159.21,1214.55,1217.49,1279.23,1286.51,1323.98,895.32,904.03,975.88,970.27,1047.08,1036.71,1128.31,1081.95,1176.38,1149.69,1205.39,1194.12,1217.45,1278.19,562.46,499.39,84.29,310.02,265.42,257.67,185.22,1016.84,967.50,974.44,1033.00,911.98,1007.72,820.94,1025.49,1159.21,1214.55,1323.98,904.03,1036.71,1176.38,1205.39
413.45,847.45,899.55,970.85,1031.59,315.86,348.62,422.25,485.71,549.68,389.15,775.99,456.06,240.42,204.09,156.13,0.00,421.55,413.80,411.34,375.94,341.35,770.24,458.51,789.46,500.24,720.90,564.12,727.84,638.03,786.40,706.94,845.93,778.92,918.14,804.95,995.23,968.79,1060.97,1034.39,1134.35,1102.51,1198.56,1160.79,1263.24,1229.81,1307.99,879.33,888.04,959.89,954.28,1031.09,1020.72,1112.32,1065.96,1160.39,1133.70,1231.55,1178.13,970.85,1031.59,315.86,485.71,240.42,0.00,421.55,413.80,341.35,770.24,720.90,727.84,786.40,706.94,918.14,804.95,968.79,1102.51,1198.56,1307.99,888.04,1020.72,1160.39,1231.55
458.05,892.05,944.15,1015.45,1076.19,360.46,393.22,466.85,530.31,594.28,433.75,820.59,500.66,285.02,248.69,200.73,44.60,0.00,458.40,455.94,420.54,385.95,814.84,503.11,834.06,544.84,765.50,608.72,772.44,682.63,831.00,751.54,890.53,823.52,962.74,849.55,1039.83,1013.39,1105.57,1078.99,1178.95,1147.11,1243.16,1205.39,1307.84,1274.41,1352.59,923.93,932.64,1004.49,998.88,1075.69,1065.32,1156.92,1110.56,1204.99,1178.30,1276.15,1222.73,1015.45,1076.19,360.46,530.31,285.02,44.60,0.00,458.40,385.95,814.84,765.50,772.44,831.00,751.54,962.74,849.55,1013.39,1147.11,1243.16,1352.59,932.64,1065.32,1204.99,1276.15
465.80,899.80,951.90,1023.20,1083.94,368.21,400.97,474.60,538.06,602.03,441.50,828.34,508.41,292.77,256.44,208.48,52.35,7.75,0.00,463.69,428.29,393.70,822.59,510.86,841.81,552.59,773.25,616.47,780.19,690.38,838.75,759.29,898.28,831.27,970.49,857.30,1047.58,1021.14,1113.32,1086.74,1186.70,1154.86,1250.91,1213.14,1315.59,1282.16,1360.34,931.68,940.39,1012.24,1006.63,1083.44,1073.07,1164.67,1118.31,1212.74,1186.05,1283.90,1230.48,1023.20,1083.94,368.21,538.06,292.77,52.35,7.75,0.00,393.70,822.59,773.25,780.19,838.75,759.29,970.49,857.30,1021.14,1154.86,1250.91,1360.34,940.39,1073.07,1212.74,1283.90
468.26,902.26,954.36,1025.66,1086.40,370.67,403.43,477.06,540.52,604.49,443.96,830.80,510.87,295.23,258.90,210.94,54.81,10.21,2.46,0.00,430.75,396.16,825.05,513.32,844.27,555.05,775.71,618.93,782.65,692.84,841.21,761.75,900.74,833.73,972.95,859.76,1050.04,1023.60,1115.78,1089.20,1189.16,1157.32,1253.37,1215.60,1318.05,1284.62,1362.80,934.14,942.85,1014.70,1009.09,1085.90,1075.53,1167.13,1120.77,1215.20,1188.51,1286.36,1232.94,1025.66,1086.40,370.67,540.52,295.23,54.81,10.21,2.46,396.16,825.05,775.71,782.65,841.21,761.75,972.95,859.76,1023.60,1157.32,1253.37,1362.80,942.85,1075.53,1215.20,1286.36
503.66,937.66,989.76,1061.06,1121.80,406.07,438.83,512.46,575.92,639.89,479.36,866.20,546.27,330.63,294.30,246.34,90.21,45.61,37.86,35.40,0.00,431.56,860.45,548.72,879.67,590.45,811.11,654.33,818.05,728.24,876.61,797.15,936.14,869.13,1008.35,895.16,1085.44,1059.00,1151.18,1124.60,1224.56,1192.72,1288.77,1251.00,1353.45,1320.02,1398.20,969.54,978.25,1050.10,1044.49,1121.30,1110.93,1202.53,1156.17,1250.60,1223.91,1321.76,1268.34,1061.06,1121.80,406.07,575.92,330.63,90.21,45.61,37.86,431.56,860.45,811.11,818.05,876.61,797.15,1008.35,895.16,1059.00,1192.72,1288.77,1398.20,978.25,1110.93,1250.60,1321.76
538.25,972.25,1024.35,1095.65,1156.39,440.66,473.42,547.05,610.51,674.48,513.95,900.79,580.86,365.22,328.89,280.93,124.80,80.20,72.45,69.99,34.59,0.00,895.04,583.31,914.26,625.04,845.70,688.92,852.64,762.83,911.20,831.74,970.73,903.72,1042.94,929.75,1120.03,1093.59,1185.77,1159.19,1259.15,1227.31,1323.36,1285.59,1388.04,1354.61,1432.79,1004.13,1012.84,1084.69,1079.08,1155.89,1145.52,1237.12,1190.76,1285.19,1258.50,1356.35,1302.93,1095.65,1156.39,440.66,610.51,365.22,124.80,80.20,72.45,0.00,895.04,845.70,852.64,911.20,831.74,1042.94,929.75,1093.59,1227.31,1323.36,1432.79,1012.84,1145.52,1285.19,1356.35
80.48,130.04,182.14,253.44,314.18,506.51,622.17,695.80,759.26,824.63,430.94,58.58,364.03,869.47,833.14,785.18,1095.20,1050.60,1042.85,1040.39,1004.99,970.40,0.00,311.71,53.00,372.46,121.58,436.34,199.86,510.25,258.42,579.16,317.95,588.80,390.16,612.55,802.83,440.81,868.57,506.41,941.95,574.53,941.60,632.81,876.60,701.83,899.28,686.93,695.64,767.49,761.88,838.69,828.32,919.92,873.56,967.99,941.30,1039.15,985.73,253.44,314.18,506.51,759.26,869.47,1095.20,1050.60,1042.85,970.40,0.00,121.58,199.86,258.42,579.16,390.16,612.55,440.81,574.53,941.60,899.28,695.64,828.32,967.99,1039.15
143.53,388.94,441.04,512.34,573.08,194.80,310.46,384.09,447.55,512.92,119.23,317.48,52.32,557.76,521.43,473.47,783.49,738.89,731.14,728.68,693.28,658.69,311.73,0.00,330.95,60.75,262.39,124.63,269.33,198.54,327.89,267.45,387.42,339.43,459.63,427.69,617.97,510.28,683.71,575.88,757.09,644.00,821.30,702.28,865.37,771.30,888.05,502.07,510.78,582.63,577.02,653.83,643.46,735.06,688.70,783.13,756.44,854.29,800.87,512.34,573.08,194.80,447.55,557.76,783.49,738.89,731.14,658.69,311.73,262.39,269.33,327.89,267.45,459.63,427.69,510.28,644.00,821.30,888.05,510.78,643.46,783.13,854.29
133.48,183.04,235.14,306.44,367.18,525.79,641.45,715.08,778.54,843.91,450.22,111.58,383.31,888.75,852.42,804.46,1114.48,1069.88,1062.13,1059.67,1024.27,989.68,53.00,330.99,0.00,391.74,68.58,455.62,146.86,529.53,205.42,598.44,264.95,535.80,337.16,559.55,749.83,387.81,815.57,453.41,888.95,521.53,888.60,579.81,823.60,648.83,846.28,633.93,642.64,714.49,708.88,785.69,775.32,866.92,820.56,914.99,888.30,986.15,932.73,306.44,367.18,525.79,778.54,888.75,1114.48,1069.88,1062.13,989.68,53.00,68.58,146.86,205.42,598.44,337.16,559.55,387.81,521.53,888.60,846.28,642.64,775.32,914.99,986.15
204.35,449.76,501.86,573.16,633.90,255.62,371.28,444.91,508.37,573.74,180.05,378.30,113.14,599.56,563.23,515.27,825.29,780.69,772.94,770.48,735.08,700.49,372.55,60.82,391.77,0.00,323.21,63.88,330.15,137.79,388.71,206.70,448.24,278.68,511.04,366.94,557.22,528.81,622.96,594.41,696.34,662.53,760.55,720.81,804.62,789.83,827.30,441.32,450.03,521.88,516.27,593.08,582.71,674.31,627.95,722.38,695.69,793.54,740.12,573.16,633.90,255.62,508.37,599.56,825.29,780.69,772.94,700.49,372.55,323.21,330.15,388.71,206.70,511.04,366.94,528.81,662.53,760.55,827.30,450.03,582.71,722.38,793.54
202.04,251.60,303.70,375.00,435.74,457.21,572.87,646.50,709.96,775.33,381.64,180.14,314.73,820.17,783.84,735.88,1045.90,1001.30,993.55,991.09,955.69,921.10,121.56,262.41,68.56,323.16,0.00,387.04,78.28,460.95,136.84,529.86,196.37,467.22,268.58,490.97,681.25,319.23,746.99,384.83,820.37,452.95,820.02,511.23,755.02,580.25,777.70,565.35,574.06,645.91,640.30,717.11,706.74,798.34,751.98,846.41,819.72,917.57,864.15,375.00,435.74,457.21,709.96,820.17,1045.90,1001.30,993.55,921.10,121.56,0.00,78.28,136.84,529.86,268.58,490.97,319.23,452.95,820.02,777.70,574.06,706.74,846.41,917.57
